model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,24.1,24.18496000110146,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,24.1,24.94960001101458,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.8496000110145785,24.1,32.59600011014579,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,40.472664872859546,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,57.531662182148864,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,85.96332436429773,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,114.3949865464466,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,142.82664872859547,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,199.68997309289318,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,256.5532974571909,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,29.1,313.41662182148866,,A,AB,AC,ACD,AD,B,C,CD,D,0,0,1,0,1,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100000228183386,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100002281833866,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100022818338644,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100045636677287,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100114091693214,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100228183386424,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100342275079637,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.10045636677285,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100684550159272,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.100912733545698,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,24.1,24.10114091693212,,A,AB,AC,AD,B,BC,BD,C,D,0,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,24.1,24.1,,A,AB,AC,AD,B,BC,BD,C,D,1,0,0,0,0,1,1,1,1,1
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,24.1,24.296392329055234,,A,AB,AC,AD,B,BC,BD,C,D,0,0,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,24.1,26.063923290552307,,A,AB,AC,AD,B,BC,BD,C,D,0,0,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.101962362162404,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.103924724324802,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.109811810812005,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.119623621624008,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.12943543243601,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.139247243248015,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.15887086487202,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.178494486496028,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.198118108120035,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,24.1,24.296392329055234,,A,AB,AC,AD,B,BC,BD,C,D,0,0,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,24.1,26.063923290552307,,A,AB,AC,AD,B,BC,BD,C,D,0,0,0,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.101962362162404,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.102158598378644,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.102354834594884,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,29.1,29.10255107081112,,A,AB,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,1,0,0,0,0
