model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,28.1,28.575372285802413,,A,AB,AC,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,28.1,32.85372285802413,,A,AB,AC,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,28.1,75.63722858024124,,A,AB,AC,AD,B,BC,BD,C,CD,D,0,0,0,0,0,0,0,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AC+AD},BCD+AC+AD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,56.236752646910986,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AC+AD},BCD+AC+AD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,67.80512897036648,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,79.37350529382198,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,90.94188161727746,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,102.51025794073297,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,114.07863426418845,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,125.64701058764396,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,131.4311987493717,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,137.21538691109944,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,142.99957507282718,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,148.78376323455493,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+AD+AC},BCD+AD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.1568376323455494,33.1,154.5679513962827,,A,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,1,1,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,160.07008827595914,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,165.34145592486638,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,170.6128235737736,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,181.15555887158806,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,191.69829416940254,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{B'CD'+BCD+ABD-BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,44.1,202.241029467217,,A,AB,ABD,AC,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+ABC+ACD},BCD+ABD+ABC+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.9622100377179544,60.1,252.54200754359087,,AB,ABC,ABD,AC,ACD,AD,BC,BCD,BD,CD,0,0,1,1,0,1,0,0,1,0,0
