model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,prediction0,prediction1,prediction2,prediction3
CNN_paper_work_AB_CD_350,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,4.7537228580241235,3.1,3.5753722858024126,,A,B,C,0,0,0,0
CNN_paper_work_AB_CD_350,{A},A,TryAll,SquaredSum,Mean_Square_Error,1000000000,3.0092382382017178,3.1,6.109238238201717,,A,B,C,0,1,0,0
CNN_paper_work_AB_CD_350,{BD+CD'-B'D'+C'D-AC+A'B-B'D'+A'C'-C'D+CD'-B'D'+BD-A'B+AB'-A'C'+CD'-CD'+A'B-AC+BD-AC+C'D-B'D'+A'B-BD+AB'-A'C'+AB'-AC+A'C'-C'D+AB'},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,30.195627859797938,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-B'D'+C'D-AC+A'B-B'D'+A'C'-C'D+CD'-B'D'+BD-A'B+AB'-A'C'+CD'-CD'+A'B-AC+BD-AC+C'D-B'D'+A'B-BD+AB'-A'C'+AB'-AC+A'C'-C'D+AB'},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,44.391255719595875,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-B'D'+C'D-AC+A'B-B'D'+A'C'-C'D+CD'-B'D'+BD-A'B+AB'-A'C'+CD'-CD'+A'B-AC+BD-AC+C'D-B'D'+A'B-BD+AB'-A'C'+AB'-AC+A'C'-C'D+AB'},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,58.58688357939382,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,72.78251143919175,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,86.97813929898969,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,101.17376715878764,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,115.36939501858558,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,129.5650228783835,AB,AC,BD,CD,0,1,1,0
