model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,37.1568633243643,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,37.66863324364298,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,42.786332436429774,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,48.472664872859546,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,65.53166218214886,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,93.96332436429773,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,122.3949865464466,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,150.82664872859547,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,207.68997309289318,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,264.5532974571909,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_AB800,{ACD+AB},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,37.1,321.41662182148866,,A,AB,AC,ACD,AD,B,BC,BD,C,CD,D,0,0,1,0,1,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,37.1,37.10000022818339,,A,AB,ABC,AC,AD,B,BC,BD,C,CD,D,0,0,1,1,0,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,37.1,37.100002281833866,,A,AB,ABC,AC,AD,B,BC,BD,C,CD,D,0,0,1,1,0,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,37.1,37.100022818338644,,A,AB,ABC,AC,AD,B,BC,BD,C,CD,D,0,0,1,1,0,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,37.1,37.10004563667729,,A,AB,ABC,AC,AD,B,BC,BD,C,CD,D,0,0,1,1,0,0,0,0,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,37.1,37.100114091693214,,A,AB,ABC,AC,AD,B,BC,BD,C,CD,D,0,0,1,1,0,0,0,0,0,0,0,0
